date,num_new_cases,overseas_acquired,total_new_cases,cases_jan25,tests_24hrs,total_tests,hospitalised,icu,deaths,linked_cluster,contact_household,contact_close,infectious_24hrs,total_cases,doses_1st_24hr,doses_2nd_24hr,doses_total_24hr,doses_cum
2021-08-01,239,2,241,8964,87712,9180819,222,54,70,115,92,23,26,,,,,
2021-08-02,207,2,209,9171,117009,9297828,232,54,71,105,92,13,50,,,,,
2021-08-03,199,3,202,9372,104536,9402364,250,53,71,88,67,21,50,,,,,
2021-08-04,233,1,234,9604,105578,9509942,286,53,72,103,79,24,47,,,,,
2021-08-05,262,6,268,9866,106954,9616896,290,51,78,129,96,33,45,,,,,
2021-08-06,291,0,291,10157,109547,9726443,304,50,79,120,95,25,50,,,,,
2021-08-07,319,2,321,10478,108449,9834892,345,56,84,125,108,17,51,,,,,
2021-08-08,262,6,268,10728,96480,9930372,251,58,84,,,,46,,,,,
2021-08-09,283,2,285,11012,133840,10064212,349,67,85,,,,64,,,,,
2021-08-10,356,4,360,11369,95037,10159248,357,60,89,147,119,28,57,,,,,
2021-08-11,344,0,344,11713,119256,10278504,374,62,91,115,97,18,65,,,,,
2021-08-12,345,2,347,12056,151830,10430334,374,62,93,128,101,27,57,,,,,
2021-08-13,390,1,391,12440,127988,10588322,391,63,95,140,118,22,58,,,,,
2021-08-14,466,1,467,12903,129352,10687674,378,64,99,121,101,20,68,,,,,
2021-08-15,415,2,417,13314,126790,10814464,381,62,104,139,122,17,42,,24419,,,1840778
2021-08-16,478,2,480,13789,156495,10970959,391,66,112,141,120,21,61,13789,24419,,,1840778
2021-08-17,452,2,454,14277,151767,11122726,447,69,113,129,105,24,30,14227,24389,12428,36817,1896563